date,load_mw
2015-11-06,7381.875
2015-11-07,6331.166666666667
2015-11-08,5735.75
2015-11-09,7489.541666666667
2015-11-10,7127.166666666667
2015-11-11,7534.416666666667
2015-11-12,7543.041666666667
2015-11-13,7462.958333333333
2015-11-14,5880.291666666667
2015-11-15,5920.916666666667
2015-11-16,7508.166666666667
2015-11-17,7693.333333333333
2015-11-18,7585.333333333333
2015-11-19,7788.625
2015-11-20,7647.541666666667
2015-11-21,6930.416666666667
2015-11-22,6618.916666666667
2015-11-23,8206.541666666666
2015-11-24,8273.25
2015-11-25,8649.458333333334
2015-11-26,8693.541666666666
2015-11-27,8484.291666666666
2015-11-28,7141.25
2015-11-29,1913.0416666666667
2015-11-30,8257.708333333334
2015-12-01,8117.5
2015-12-02,7949.916666666667
2015-12-03,8081.416666666667
2015-12-04,7604.833333333333
2015-12-05,7008.458333333333
2015-12-06,6411.125
2015-12-07,7584.625
2015-12-08,6854.583333333333
2015-12-09,8123.833333333333
2015-12-10,8307.125
2015-12-11,8331.625
2015-12-12,7381.583333333333
2015-12-13,6742.333333333333
2015-12-14,8334.541666666666
2015-12-15,8694.583333333334
2015-12-16,8665.166666666666
2015-12-17,8437.166666666666
2015-12-18,8130.458333333333
2015-12-19,7034.166666666667
2015-12-20,6613.125
2015-12-21,8055.666666666667
2015-12-22,7865.75
2015-12-23,7439.708333333333
2015-12-24,6004.708333333333
2015-12-25,2366.2083333333335
2015-12-26,6149.166666666667
2015-12-27,6185.166666666667
2015-12-28,6723.75
2015-12-29,4082.5416666666665
2015-12-30,7069.875
2015-12-31,6839.875
2016-01-01,6337.666666666667
2016-01-02,6953.708333333333
2016-01-03,6967.0
2016-01-04,8083.166666666667
2016-01-05,8199.041666666666
2016-01-06,7376.916666666667
2016-01-07,8177.208333333333
2016-01-08,7983.833333333333
2016-01-09,7184.416666666667
2016-01-10,6699.0
2016-01-11,8261.0
2016-01-12,8336.666666666666
2016-01-13,8564.25
2016-01-14,8561.125
2016-01-15,8545.5
2016-01-16,7595.083333333333
2016-01-17,7196.416666666667
2016-01-18,8852.041666666666
2016-01-19,9128.166666666666
2016-01-20,9007.166666666666
2016-01-21,9002.0
2016-01-22,8900.333333333334
2016-01-23,7958.458333333333
2016-01-24,7094.666666666667
2016-01-25,8444.333333333334
2016-01-26,8350.833333333334
2016-01-27,8330.541666666666
2016-01-28,8235.5
2016-01-29,8034.083333333333
2016-01-30,7145.875
2016-01-31,6697.916666666667
2016-02-01,8049.625
2016-02-02,8051.5
2016-02-03,8329.416666666666
2016-02-04,8387.083333333334
2016-02-05,8107.166666666667
2016-02-06,7054.541666666667
2016-02-07,6607.583333333333
2016-02-08,7967.708333333333
2016-02-09,7839.875
2016-02-10,8349.916666666666
2016-02-11,8348.208333333334
2016-02-12,8195.75
2016-02-13,7031.208333333333
2016-02-14,6615.125
2016-02-15,8143.166666666667
2016-02-16,8394.666666666666
2016-02-17,8449.708333333334
2016-02-18,8442.375
2016-02-19,8286.208333333334
2016-02-20,7152.041666666667
2016-02-21,6528.208333333333
2016-02-22,7724.958333333333
2016-02-23,8038.708333333333
2016-02-24,8102.916666666667
2016-02-25,8286.708333333334
2016-02-26,7981.625
2016-02-27,7013.75
2016-02-28,6526.333333333333
2016-02-29,8156.0
2016-03-01,8392.416666666666
2016-03-02,8205.25
2016-03-03,8416.25
2016-03-04,8037.5
2016-03-05,6983.916666666667
2016-03-06,6475.375
2016-03-07,8203.25
2016-03-08,8323.958333333334
2016-03-09,8125.0
2016-03-10,8133.833333333333
2016-03-11,8094.208333333333
2016-03-12,7066.333333333333
2016-03-13,6587.458333333333
2016-03-14,7932.375
2016-03-15,8376.791666666666
2016-03-16,8268.916666666666
2016-03-17,8008.708333333333
2016-03-18,7761.625
2016-03-19,6730.375
2016-03-20,6179.291666666667
2016-03-21,7660.25
2016-03-22,7863.208333333333
2016-03-23,7949.083333333333
2016-03-24,7986.25
2016-03-25,7626.25
2016-03-26,6662.0
2016-03-27,5827.833333333333
2016-03-28,5894.791666666667
2016-03-29,7465.875
2016-03-30,7433.333333333333
2016-03-31,7352.208333333333
2016-04-01,7361.583333333333
2016-04-02,6183.208333333333
2016-04-03,5614.541666666667
2016-04-04,7068.708333333333
2016-04-05,7129.458333333333
2016-04-06,7300.0
2016-04-07,7424.5
2016-04-08,7514.833333333333
2016-04-09,6385.041666666667
2016-04-10,5693.75
2016-04-11,7125.75
2016-04-12,7288.958333333333
2016-04-13,7188.833333333333
2016-04-14,7395.625
2016-04-15,7059.041666666667
2016-04-16,5956.916666666667
2016-04-17,5542.0
2016-04-18,7272.916666666667
2016-04-19,7180.375
2016-04-20,7060.208333333333
2016-04-21,7061.875
2016-04-22,6933.875
2016-04-23,6051.791666666667
2016-04-24,5758.791666666667
2016-04-25,7413.541666666667
2016-04-26,7431.375
2016-04-27,7746.125
2016-04-28,7594.666666666667
2016-04-29,7124.541666666667
2016-04-30,5940.125
2016-05-01,5744.666666666667
2016-05-02,7322.166666666667
2016-05-03,7250.916666666667
2016-05-04,7449.875
2016-05-05,5827.125
2016-05-06,6295.083333333333
2016-05-07,5722.125
2016-05-08,5296.666666666667
2016-05-09,6809.25
2016-05-10,7064.375
2016-05-11,7124.666666666667
2016-05-12,7354.25
2016-05-13,7146.833333333333
2016-05-14,5985.75
2016-05-15,5461.458333333333
2016-05-16,5534.708333333333
2016-05-17,7029.958333333333
2016-05-18,6960.0
2016-05-19,7164.958333333333
2016-05-20,7073.208333333333
2016-05-21,5819.625
2016-05-22,5307.916666666667
2016-05-23,6986.583333333333
2016-05-24,7227.833333333333
2016-05-25,6895.083333333333
2016-05-26,5414.5
2016-05-27,6204.083333333333
2016-05-28,5584.416666666667
2016-05-29,5256.083333333333
2016-05-30,6891.458333333333
2016-05-31,7066.916666666667
2016-06-01,7157.125
2016-06-02,7134.666666666667
2016-06-03,6878.791666666667
2016-06-04,5837.041666666667
2016-06-05,5394.5
2016-06-06,6853.708333333333
2016-06-07,6866.583333333333
2016-06-08,6976.375
2016-06-09,7182.75
2016-06-10,6825.833333333333
2016-06-11,5875.125
2016-06-12,5416.291666666667
2016-06-13,6925.041666666667
2016-06-14,6982.375
2016-06-15,7079.5
2016-06-16,7077.083333333333
2016-06-17,6839.833333333333
2016-06-18,5758.25
2016-06-19,5456.708333333333
2016-06-20,7057.208333333333
2016-06-21,6973.625
2016-06-22,7084.416666666667
2016-06-23,7159.208333333333
2016-06-24,7051.958333333333
2016-06-25,6108.583333333333
2016-06-26,5549.5
2016-06-27,7016.916666666667
2016-06-28,6910.041666666667
2016-06-29,7048.291666666667
2016-06-30,7196.291666666667
2016-07-01,6942.25
2016-07-02,6017.166666666667
2016-07-03,5335.291666666667
2016-07-04,6775.458333333333
2016-07-05,6962.083333333333
2016-07-06,6951.708333333333
2016-07-07,6932.75
2016-07-08,6857.916666666667
2016-07-09,5915.916666666667
2016-07-10,5434.875
2016-07-11,7099.916666666667
2016-07-12,7335.458333333333
2016-07-13,7156.083333333333
2016-07-14,6963.125
2016-07-15,6764.083333333333
2016-07-16,5838.416666666667
2016-07-17,5372.5
2016-07-18,6830.625
2016-07-19,6884.041666666667
2016-07-20,6904.875
2016-07-21,6978.083333333333
2016-07-22,6801.291666666667
2016-07-23,5842.958333333333
2016-07-24,5332.708333333333
2016-07-25,6792.583333333333
2016-07-26,6769.541666666667
2016-07-27,6847.291666666667
2016-07-28,6754.666666666667
2016-07-29,6533.625
2016-07-30,5694.041666666667
2016-07-31,5295.875
2016-08-01,6388.875
2016-08-02,6388.541666666667
2016-08-03,6508.458333333333
2016-08-04,6626.375
2016-08-05,6697.791666666667
2016-08-06,5659.458333333333
2016-08-07,5170.291666666667
2016-08-08,6500.458333333333
2016-08-09,6803.875
2016-08-10,6801.875
2016-08-11,6566.791666666667
2016-08-12,6562.25
2016-08-13,5636.916666666667
2016-08-14,5114.5
2016-08-15,5306.541666666667
2016-08-16,6714.125
2016-08-17,6769.916666666667
2016-08-18,6875.791666666667
2016-08-19,6790.541666666667
2016-08-20,5863.208333333333
2016-08-21,5519.041666666667
2016-08-22,6859.0
2016-08-23,6846.125
2016-08-24,7006.208333333333
2016-08-25,7043.291666666667
2016-08-26,6894.375
2016-08-27,5861.375
2016-08-28,5451.291666666667
2016-08-29,7173.291666666667
2016-08-30,7091.041666666667
2016-08-31,7055.958333333333
2016-09-01,7145.375
2016-09-02,7021.625
2016-09-03,5946.75
2016-09-04,5556.458333333333
2016-09-05,7076.833333333333
2016-09-06,7308.333333333333
2016-09-07,7142.0
2016-09-08,7180.791666666667
2016-09-09,7007.583333333333
2016-09-10,5964.541666666667
2016-09-11,5501.208333333333
2016-09-12,7126.583333333333
2016-09-13,7199.875
2016-09-14,7259.041666666667
2016-09-15,7294.041666666667
2016-09-16,7129.833333333333
2016-09-17,6121.291666666667
2016-09-18,5582.833333333333
